carrera,escuela,enlace,sede,enlace1,vinculo,telefono
Diseño,IP DE CHILE,"https://www.google.cl/maps/place/-33.45215,-70.66767","Av. República 285, Santiago, Región Metropolitana",http://www.ipchile.cl/carreras/diseno,Visita aquí,(+56)227224800
Diseño,UNIVERSIDAD ADOLFO IBAÑEZ,"https://www.google.cl/maps/place/-33.48942,-70.51666","Diagonal Las Torres 2640, Peñalolén, Región Metropolitana",http://www.uai.cl/carreras/diseno,Visita aquí,(+56)223311000
Diseño,UNIVERSIDAD CATÓLICA,"https://www.google.cl/maps/place/-33.41962,-70.61858","El Comendador 1916, Providencia, Región Metropolitana",http://diseno.uc.cl/,Visita aquí,(+56)223545534
Diseño,UNIVERSIDAD DE TALCA,"https://www.google.cl/maps/place/-35.42555, -71.6451","2 Nte. 685, Talca, VII Región",http://admision.utalca.cl/carreras/diseno.html,Visita aquí, 800 710 071
Diseño,UNIVERSIDAD DEL DESARROLLO,"https://www.google.cl/maps/place/-33.39155, -70.50164","La Plaza Nte 700, Peñalolén, Región Metropolitana",http://diseno.udd.cl/,Visita aquí,(+56)223279110
Diseño,UNIVERSIDAD DEL DESARROLLO,"https://www.google.cl/maps/place/-36.82152, -73.03703","Ainavillo 456, Concepción, Región del Bío Bío",http://diseno.udd.cl/carrera/diseno/equipo/concepcion/,Visita aquí,(+56)4122618610
Diseño,UNIVERSIDAD DIEGO PORTALES,"https://www.google.cl/maps/place/-33.45089, -70.66756","Av. República 180, Santiago, Región Metropolitana",http://diseno.udp.cl/,Visita aquí,(+56)226762000
Diseño,UNIVERSIDAD FINIS TERRAE,"https://www.google.cl/maps/place/-33.42572, -70.61175","Av. Pedro de Valdivia 1224, Providencia, Región Metropolitana",http://fad.uft.cl/escuela-de-diseno,Visita aquí,(+56)224207390
Diseño (NN),UACH,"https://www.google.cl/maps/place/-39.81546, -73.24737","Independencia 641, Valdivia, Región de los Ríos",https://www.uach.cl/,Visita aquí,(+56)632221500
"Diseño Crossmedia en Gráfica, Web y Video Digital",UNIVERSIDAD GABRIELA MISTRAL,"https://www.google.cl/maps/place/-33.4321, -70.60613","Av. Ricardo Lyon 1177, Providencia, Región Metropolitana",http://www.ugm.cl/dcm/carrera/perfil/,Visita aquí,(+56)224144564
